"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US2634000","Grand Rapids city, Michigan","200131","59",
"1600000US2642160","Kalamazoo city, Michigan","73280","44",
"1600000US2646000","Lansing city, Michigan","113466","1227",
"1600000US2649000","Livonia city, Michigan","93118","31",
"1600000US2659440","Novi city, Michigan","67678","29",
"1600000US2669035","Rochester Hills city, Michigan","78328","23",
"1600000US2674900","Southfield city, Michigan","76885","45",
"1600000US2676460","Sterling Heights city, Michigan","134343","28",
"1600000US2680700","Troy city, Michigan","89205","35",
"1600000US2684000","Warren city, Michigan","137709","80",
"1600000US2686000","Westland city, Michigan","82745","27",
"1600000US2688940","Wyoming city, Michigan","78557","27",
"1600000US2706382","Blaine city, Minnesota","75170","26",
"1600000US2706616","Bloomington city, Minnesota","88339","34",
"1600000US2707966","Brooklyn Park city, Minnesota","82887","35",
"1600000US2717000","Duluth city, Minnesota","87990","25",
"1600000US2717288","Eagan city, Minnesota","67238","30",
"1600000US2735180","Lakeville city, Minnesota","77973","29",
"1600000US2740166","Maple Grove city, Minnesota","72741","25",
"1600000US2743000","Minneapolis city, Minnesota","428572","46",
"1600000US2751730","Plymouth city, Minnesota","78545","35",
"1600000US2754880","Rochester city, Minnesota","123616","41",
"1600000US2756896","St. Cloud city, Minnesota","69609","2739",
"1600000US2758000","St. Paul city, Minnesota","307484","77",
"1600000US2771428","Woodbury city, Minnesota","80590","32",
"1600000US2829700","Gulfport city, Mississippi","74632","45",
"1600000US2836000","Jackson city, Mississippi","141376","31",
"1600000US2915670","Columbia city, Missouri","130913","52",
"1600000US2935000","Independence city, Missouri","121606","81",
"1600000US2938000","Kansas City city, Missouri","516045","88",
"1600000US2941348","Lee's Summit city, Missouri","106296","901",
"1600000US2954074","O'Fallon city, Missouri","95363","38",
"1600000US2964082","St. Charles city, Missouri","72463","27",
"1600000US2964550","St. Joseph city, Missouri","69221","2383",
"1600000US2965000","St. Louis city, Missouri","279695","*****",
"1600000US2970000","Springfield city, Missouri","170572","81",
"1600000US3006550","Billings city, Montana","121478","32",
"1600000US3050200","Missoula city, Montana","78213","35",
"1600000US3128000","Lincoln city, Nebraska","300626","34",
"1600000US3137000","Omaha city, Nebraska","489263","35",
"1600000US3223770","Enterprise CDP, Nevada","250461","15836",
"1600000US3231900","Henderson city, Nevada","350020","83",
"1600000US3240000","Las Vegas city, Nevada","678924","71",
"1600000US3251800","North Las Vegas city, Nevada","294042","48",
"1600000US3254600","Paradise CDP, Nevada","183959","13770",
"1600000US3260600","Reno city, Nevada","281684","94",
"1600000US3268400","Sparks city, Nevada","111523","38",
"1600000US3268585","Spring Valley CDP, Nevada","221300","14935",
"1600000US3271400","Sunrise Manor CDP, Nevada","199977","12076",
"1600000US3345140","Manchester city, New Hampshire","116381","28",
"1600000US3350260","Nashua city, New Hampshire","91850","22",
"1600000US3403580","Bayonne city, New Jersey","74526","30",
"1600000US3410000","Camden city, New Jersey","71761","47",
"1600000US3413690","Clifton city, New Jersey","90315","35",
"1600000US3419390","East Orange city, New Jersey","71844","30",
"1600000US3421000","Elizabeth city, New Jersey","140401","47",
"1600000US3436000","Jersey City city, New Jersey","302822","37",
"1600000US3438580","Lakewood CDP, New Jersey","70271","8825",
"1600000US3451000","Newark city, New Jersey","317303","42",
"1600000US3456550","Passaic city, New Jersey","70730","41",
"1600000US3457000","Paterson city, New Jersey","160446","54",
"1600000US3473110","Toms River CDP, New Jersey","96868","930",
"1600000US3474000","Trenton city, New Jersey","91204","43",
"1600000US3474630","Union City city, New Jersey","66918","24",
"1600000US3502000","Albuquerque city, New Mexico","560333","51",
"1600000US3539380","Las Cruces city, New Mexico","116992","33",
"1600000US3563460","Rio Rancho city, New Mexico","112518","27",
"1600000US3570500","Santa Fe city, New Mexico","90553","28",
"1600000US3601000","Albany city, New York","101314","29",
"1600000US3611000","Buffalo city, New York","276618","43",
"1600000US3615000","Cheektowaga CDP, New York","73359","2809",
"1600000US3649121","Mount Vernon city, New York","71982","61",
"1600000US3650617","New Rochelle city, New York","85509","27",
"1600000US3651000","New York city, New York","8478072","*****",
"1600000US3663000","Rochester city, New York","207287","37",
"1600000US3665508","Schenectady city, New York","69489","31",
"1600000US3673000","Syracuse city, New York","146091","39",
"1600000US3684000","Yonkers city, New York","211062","91",
"1600000US3701520","Apex town, North Carolina","75950","34",
"1600000US3702140","Asheville city, North Carolina","94983","35",
"1600000US3710740","Cary town, North Carolina","181838","1007",
"1600000US3712000","Charlotte city, North Carolina","943474","59",
"1600000US3714100","Concord city, North Carolina","112398","29",
"1600000US3719000","Durham city, North Carolina","301877","425",
"1600000US3722920","Fayetteville city, North Carolina","209485","60",
"1600000US3725580","Gastonia city, North Carolina","85528","34",
"1600000US3728000","Greensboro city, North Carolina","307372","52",
"1600000US3728080","Greenville city, North Carolina","95144","33",
"1600000US3731400","High Point city, North Carolina","117109","2371",
"1600000US3733120","Huntersville town, North Carolina","67072","57",
"1600000US3734200","Jacksonville city, North Carolina","70843","27",
"1600000US3755000","Raleigh city, North Carolina","499637","651",
"1600000US3774440","Wilmington city, North Carolina","125267","63",
"1600000US3775000","Winston-Salem city, North Carolina","255782","60",
